Category: All categories

Week,לוסי איוב: (Israel)
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,5
2019-09-01,0
2019-09-08,5
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,9
2019-10-27,0
2019-11-03,13
2019-11-10,5
2019-11-17,12
2019-11-24,0
2019-12-01,4
2019-12-08,16
2019-12-15,65
2019-12-22,5
2019-12-29,17
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,18
2020-02-02,9
2020-02-09,5
2020-02-16,13
2020-02-23,15
2020-03-01,29
2020-03-08,5
2020-03-15,0
2020-03-22,11
2020-03-29,38
2020-04-05,48
2020-04-12,36
2020-04-19,19
2020-04-26,9
2020-05-03,11
2020-05-10,19
2020-05-17,7
2020-05-24,10
2020-05-31,6
2020-06-07,4
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,5
2020-07-26,10
2020-08-02,5
2020-08-09,5
2020-08-16,8
2020-08-23,6
2020-08-30,4
2020-09-06,6
2020-09-13,0
2020-09-20,8
2020-09-27,8
2020-10-04,6
2020-10-11,0
2020-10-18,0
2020-10-25,4
2020-11-01,0
2020-11-08,0
2020-11-15,10
2020-11-22,0
2020-11-29,5
2020-12-06,5
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,7
2021-01-24,22
2021-01-31,6
2021-02-07,6
2021-02-14,0
2021-02-21,9
2021-02-28,0
2021-03-07,0
2021-03-14,4
2021-03-21,0
2021-03-28,10
2021-04-04,5
2021-04-11,9
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,16
2021-05-23,12
2021-05-30,0
2021-06-06,5
2021-06-13,0
2021-06-20,6
2021-06-27,5
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,50
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,7
2021-10-03,4
2021-10-10,0
2021-10-17,5
2021-10-24,12
2021-10-31,0
2021-11-07,0
2021-11-14,7
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,10
2021-12-19,13
2021-12-26,22
2022-01-02,11
2022-01-09,15
2022-01-16,7
2022-01-23,10
2022-01-30,14
2022-02-06,40
2022-02-13,100
2022-02-20,49
2022-02-27,32
2022-03-06,59
2022-03-13,32
2022-03-20,34
2022-03-27,26
2022-04-03,17
2022-04-10,33
2022-04-17,8
2022-04-24,8
2022-05-01,16
2022-05-08,8
2022-05-15,7
2022-05-22,10
2022-05-29,4
2022-06-05,0
2022-06-12,4
2022-06-19,11
2022-06-26,9
2022-07-03,6
2022-07-10,7
2022-07-17,12
2022-07-24,26
2022-07-31,26
2022-08-07,16
2022-08-14,17
2022-08-21,16
2022-08-28,20
2022-09-04,13
2022-09-11,12
2022-09-18,9
2022-09-25,17
2022-10-02,17
2022-10-09,24
2022-10-16,8
2022-10-23,0
2022-10-30,8
2022-11-06,4
2022-11-13,5
2022-11-20,9
2022-11-27,9
2022-12-04,12
2022-12-11,10
2022-12-18,0
2022-12-25,4
2023-01-01,4
2023-01-08,0
2023-01-15,9
2023-01-22,19
2023-01-29,10
2023-02-05,12
2023-02-12,11
2023-02-19,35
2023-02-26,8
2023-03-05,7
2023-03-12,5
2023-03-19,8
2023-03-26,4
2023-04-02,8
2023-04-09,6
2023-04-16,5
2023-04-23,6
2023-04-30,3
2023-05-07,8
2023-05-14,4
2023-05-21,16
2023-05-28,70
2023-06-04,81
2023-06-11,58
2023-06-18,44
2023-06-25,32
2023-07-02,31
2023-07-09,23
2023-07-16,47
2023-07-23,74
2023-07-30,28
2023-08-06,12
2023-08-13,8
2023-08-20,8
2023-08-27,30
2023-09-03,6
2023-09-10,7
2023-09-17,0
2023-09-24,4
2023-10-01,0
2023-10-08,6
2023-10-15,25
2023-10-22,93
2023-10-29,17
2023-11-05,7
2023-11-12,5
2023-11-19,4
2023-11-26,3
2023-12-03,4
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,6
2024-01-07,6
2024-01-14,0
2024-01-21,0
2024-01-28,4
2024-02-04,6
2024-02-11,8
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,5
2024-04-14,8
2024-04-21,10
2024-04-28,8
2024-05-05,6
2024-05-12,0
2024-05-19,9
2024-05-26,39
2024-06-02,52
2024-06-09,43
2024-06-16,32
2024-06-23,52
2024-06-30,36
2024-07-07,24
